Province,2016,2017,2018,2019,2020,2021
Aceh,6013,7232,8593,8545,6730,4707
Bangka Belitung,1545,2139,2303,2131,1629,1001
Bali,3129,3566,3805,4206,2882,2166
Banten,14841,17234,33325,32148,21150,14732
Bengkulu,1829,2477,3533,3281,1573,962
DI Yogyakarta,3076,3530,3778,4150,2986,1947
DKI Jakarta,27810,38186,40212,42066,25143,18148
Gorontalo,1672,1935,4063,4020,2317,1920
Jawa Barat,72256,85359,129197,133667,81656,56448
Jambi,3496,3927,4364,4850,3103,2343
Jawa Tengah,36939,52052,60794,59408,40403,28119
Jawa Timur,49589,55284,66052,66912,43842,27948
Kalimantan Barat,5174,5963,7343,9529,6423,4043
Kalimantan Selatan,5847,7609,8635,7558,3396,2423
Kalimantan Utara,1223,1741,1563,1788,964,652
Kalimantan Tengah,2930,3433,3776,3848,2416,1691
Kalimantan Timur,5029,6207,6407,7737,4335,3066
Kepulauan Riau,3824,4486,6555,5575,3822,2910
Lampung,9469,10217,16394,16123,11620,5245
Maluku,3959,4592,4432,4377,2028,1405
Maluku Utara,1813,2194,2082,2222,1478,973
NTB,5997,6784,6776,7272,5423,4047
NTT,6359,7080,7361,7595,5286,3258
Papua,9227,11812,11511,11763,8581,5752
Papua Barat,2082,2094,2316,2967,1562,1411
Riau,6167,10263,12598,11002,8757,6220
Sulawesi Barat,1674,1996,2141,2736,1965,1657
Sulawesi Selatan,13482,17293,26001,20418,12393,10780
Sulawesi Tengah,3884,5181,6108,5822,4066,2644
Sulawesi Tenggara,3901,3931,4503,4524,2933,2012
Sulawesi Utara,5406,7215,6565,7852,4943,3603
Sumatera Barat,7482,9341,11344,11463,5903,5208
Sumatera Selatan,10344,15129,22171,20649,9920,9050
Sumatera Utara,23097,26222,33688,30783,20790,14146