region_province,perc_ci
Indonesia,35
NTB,69
Bali,69
Jawa Tengah,62
Jawa Timur,50
Bangka Belitung,48
Lampung,48
Kepulauan Riau,44
DI Yogyakarta,43
Bengkulu,42
Sulawesi Selatan,41
NTT,40
Kalimantan Utara,40
Riau,39
Jambi,37
Gorontalo,36
Sumatera Selatan,35
Sumatera Utara,33
Kalimantan Timur,32
Sulawesi Barat,31
Sulawesi Tengah,30
Kalimantan Tengah,29
Kalimantan Barat,26
Jawa Barat,25
Banten,25
Sulawesi Utara,25
Sulawesi Tenggara,21
Papua Barat,21
Kalimantan Selatan,20
Sumatera Barat,20
Papua,18
Aceh,17
DKI Jakarta,17
Maluku,13
Maluku Utara,11