region_province,perc
Indonesia,80
Maluku,100
Bangka Belitung,97
Kepulauan Riau,96
DKI Jakarta,93
Lampung,92
Aceh,92
Banten,90
Sulawesi Utara,89
Riau,85
Sulawesi Selatan,83
Sumatera Selatan,82
Bengkulu,82
Bali,81
Jawa Tengah,80
Jawa Timur,77
NTB,77
DI Yogyakarta,75
Jawa Barat,74
Kalimantan Tengah,73
Kalimantan Barat,67
Kalimantan Utara,64
Jambi,61
Sumatera Barat,54
Sumatera Utara,45
Kalimantan Timur,44
Maluku Utara,43
NTT,38
Sulawesi Barat,30
Sulawesi Tengah,17
Kalimantan Selatan,9
Sulawesi Tenggara,0
Gorontalo,0
Papua Barat,0
Papua,0