region_province,allocated,on_board
Aceh,11,10
Sumatera Utara,41,40
Sumatera Barat,18,18
Riau,17,17
Kepulauan Riau,8,8
Jambi,15,15
Sumatera Selatan,19,19
Bangka Belitung,4,4
Bengkulu,4,4
Lampung,22,22
Banten,22,22
DKI Jakarta,22,22
Jawa Barat,71,70
Jawa Tengah,74,73
DI Yogyakarta,14,14
Jawa Timur,73,72
Kalimantan Barat,15,14
Kalimantan Tengah,5,5
Kalimantan Selatan,11,11
Kalimantan Timur,11,11
Kalimantan Utara,4,4
Sulawesi Utara,6,6
Gorontalo,3,3
Sulawesi Tengah,6,6
Sulawesi Selatan,23,22
Sulawesi Barat,3,2
Sulawesi Tenggara,6,5
Bali,11,11
NTB,11,11
NTT,14,13
Maluku,3,3
Maluku Utara,3,3
Papua,12,11
Papua Barat,4,4